Project URL,SHA Detected,Module Path,Test,Category,Status,Identifier
https://github.com/apache/archiva,292dbe1bb4323dd299d36b78f37d9c1d55c889f8,archiva-modules/archiva-base/archiva-repository-layer,org.apache.archiva.repository.base.managed.BasicManagedRepositoryValidatorTest.applyUpdateWithExistingRepo,OD,Accepted,archiva-292dbe1bb4323dd299d36b78f37d9c1d55c889f8-chiva-modules-archiva-base-archiva-repository-layer
https://github.com/apache/archiva,292dbe1bb4323dd299d36b78f37d9c1d55c889f8,archiva-modules/archiva-base/archiva-repository-layer,org.apache.archiva.repository.base.managed.BasicManagedRepositoryValidatorTest.applyWithBadName,OD,Accepted,archiva-292dbe1bb4323dd299d36b78f37d9c1d55c889f8-chiva-modules-archiva-base-archiva-repository-layer
https://github.com/apache/archiva,292dbe1bb4323dd299d36b78f37d9c1d55c889f8,archiva-modules/archiva-base/archiva-repository-layer,org.apache.archiva.repository.base.managed.BasicManagedRepositoryValidatorTest.applyWithBadSchedulingExpression,OD,Accepted,archiva-292dbe1bb4323dd299d36b78f37d9c1d55c889f8-chiva-modules-archiva-base-archiva-repository-layer
https://github.com/apache/archiva,292dbe1bb4323dd299d36b78f37d9c1d55c889f8,archiva-modules/archiva-base/archiva-repository-layer,org.apache.archiva.repository.base.managed.BasicManagedRepositoryValidatorTest.applyWithEmptyId,OD,Accepted,archiva-292dbe1bb4323dd299d36b78f37d9c1d55c889f8-chiva-modules-archiva-base-archiva-repository-layer
https://github.com/apache/archiva,292dbe1bb4323dd299d36b78f37d9c1d55c889f8,archiva-modules/archiva-base/archiva-repository-layer,org.apache.archiva.repository.base.managed.BasicManagedRepositoryValidatorTest.applyWithExistingRepo,OD,Accepted,archiva-292dbe1bb4323dd299d36b78f37d9c1d55c889f8-chiva-modules-archiva-base-archiva-repository-layer
https://github.com/apache/archiva,292dbe1bb4323dd299d36b78f37d9c1d55c889f8,archiva-modules/archiva-base/archiva-repository-layer,org.apache.archiva.repository.base.managed.BasicManagedRepositoryValidatorTest.applyWithNullObject,OD,Accepted,archiva-292dbe1bb4323dd299d36b78f37d9c1d55c889f8-chiva-modules-archiva-base-archiva-repository-layer
https://github.com/apache/archiva,292dbe1bb4323dd299d36b78f37d9c1d55c889f8,archiva-modules/archiva-base/archiva-repository-layer,org.apache.archiva.repository.base.managed.BasicManagedRepositoryValidatorTest.getFlavour,OD,Accepted,archiva-292dbe1bb4323dd299d36b78f37d9c1d55c889f8-chiva-modules-archiva-base-archiva-repository-layer
https://github.com/apache/archiva,292dbe1bb4323dd299d36b78f37d9c1d55c889f8,archiva-modules/archiva-base/archiva-repository-layer,org.apache.archiva.repository.base.managed.BasicManagedRepositoryValidatorTest.isFlavour,OD,Accepted,archiva-292dbe1bb4323dd299d36b78f37d9c1d55c889f8-chiva-modules-archiva-base-archiva-repository-layer
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.bigIntAsAttachmentMaxSize,OD-Vic,Accepted,cxf-69925893ed0e8a8fdfe1164b4e097a5cf5524027-re
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.byteAsAttachmentMaxSize,OD-Vic,Accepted,cxf-69925893ed0e8a8fdfe1164b4e097a5cf5524027-re
